"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "SVG", "JavaScript JSX", "HTML", "comment", "blank", "total"
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\GameResult.tsx", "TypeScript JSX", 0, 0, 0, 0, -77, 0, 0, 0, 0, -1, -6, -84
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\HistoryComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -76, 0, 0, 0, 0, -7, -9, -92
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\LostPieces.tsx", "TypeScript JSX", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, -4, -52
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\PawnPromotionComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, -5, -65
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\SideMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, -163, 0, 0, 0, 0, -12, -7, -182
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\WhitePlayerInfoComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -60, 0, 0, 0, 0, -15, -5, -80
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\WhitePlayerTimer.tsx", "TypeScript JSX", 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, -10, -73
"d:\WEB Projects\chessverse\client\src\components\gameComponent\contexts\gameContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -146, 0, 0, 0, 0, 0, -8, -154
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\boardTestInfo.css", "CSS", 0, 0, 0, 0, 0, -72, 0, 0, 0, 0, -1, -73
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\coords.css", "CSS", 0, 0, 0, 0, 0, -164, 0, 0, 0, 0, -3, -167
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\gameResult.css", "CSS", 0, 0, 0, 0, 0, -99, 0, 0, 0, 0, -3, -102
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\historySections.css", "CSS", 0, 0, 0, 0, 0, -38, 0, 0, 0, -1, -1, -40
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\index.css", "CSS", 0, 0, 0, 0, 0, -140, 0, 0, 0, 0, -6, -146
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\infoSections.css", "CSS", 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, -1, -56
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\lostPieces.css", "CSS", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -1, -26
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\promotion.css", "CSS", 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, -2, -54
"d:\WEB Projects\chessverse\client\src\components\gameComponent\css\sideMenu.css", "CSS", 0, 0, 0, 0, 0, -107, 0, 0, 0, -2, -13, -122
"d:\WEB Projects\chessverse\client\src\components\gameComponent\index.d.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\components\gameComponent\index.tsx", "TypeScript JSX", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\Board.ts", "TypeScript", 0, 0, 0, -184, 0, 0, 0, 0, 0, -2, -11, -197
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\Cell.ts", "TypeScript", 0, 0, 0, -325, 0, 0, 0, 0, 0, -4, -4, -333
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\Colors.ts", "TypeScript", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -1, -6
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\GameModes.ts", "TypeScript", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -1, -9
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\Player.ts", "TypeScript", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -3, -14
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\Utils\PiecesUtils.ts", "TypeScript", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -2, -16
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\bot.ts", "TypeScript", 0, 0, 0, -161, 0, 0, 0, 0, 0, -43, -15, -219
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Bishop.ts", "TypeScript", 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, -3, -45
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\King.ts", "TypeScript", 0, 0, 0, -248, 0, 0, 0, 0, 0, -13, -6, -267
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Knight.ts", "TypeScript", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, -1, -40
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Pawn.ts", "TypeScript", 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, -5, -126
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Piece.ts", "TypeScript", 0, 0, 0, -339, 0, 0, 0, 0, 0, -2, -7, -348
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\PiecesNames.ts", "TypeScript", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, -1, -10
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Queen.ts", "TypeScript", 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, -2, -62
"d:\WEB Projects\chessverse\client\src\components\gameComponent\models\pieces\Rook.ts", "TypeScript", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, -2, -52
"d:\WEB Projects\chessverse\client\src\components\gameComponent\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\WEB Projects\chessverse\client\src\components\gameComponent\socket.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -5
"d:\WEB Projects\chessverse\client\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, -6, -46
"d:\WEB Projects\chessverse\client\src\contexts\FormContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -9, -41
"d:\WEB Projects\chessverse\client\src\contexts\SettingsContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, -5, -27
"d:\WEB Projects\chessverse\client\src\css\App.css", "CSS", 0, 0, 0, 0, 0, -198, 0, 0, 0, 0, -9, -207
"d:\WEB Projects\chessverse\client\src\css\HomeComponent.css", "CSS", 0, 0, 0, 0, 0, -299, 0, 0, 0, 0, -24, -323
"d:\WEB Projects\chessverse\client\src\css\Loader.css", "CSS", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, -1, -36
"d:\WEB Projects\chessverse\client\src\css\LoginComponent.css", "CSS", 0, 0, 0, 0, 0, -139, 0, 0, 0, -1, -17, -157
"d:\WEB Projects\chessverse\client\src\css\MissingComponent.css", "CSS", 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, -5, -45
"d:\WEB Projects\chessverse\client\src\css\ProfileComponent.css", "CSS", 0, 0, 0, 0, 0, -136, 0, 0, 0, 0, -10, -146
"d:\WEB Projects\chessverse\client\src\css\SidebarComponent.css", "CSS", 0, 0, 0, 0, 0, -132, 0, 0, 0, -1, -12, -145
"d:\WEB Projects\chessverse\client\src\css\index.css", "CSS", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -5, -33
"d:\WEB Projects\chessverse\client\src\hooks\useAuth.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -3, -9
"d:\WEB Projects\chessverse\client\src\hooks\useRefreshToken.ts", "TypeScript", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -3, -23
"d:\WEB Projects\chessverse\client\src\hooks\useServerPrivate.ts", "TypeScript", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, -3, -41
"d:\WEB Projects\chessverse\client\src\hooks\useSettings.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -3, -9
"d:\WEB Projects\chessverse\client\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, -34, 0, 0, 0, 0, -22, -5, -61
